id,subject,title,description,session_date,duration,group_size,creator_fk,location
1,Mathematics,"MATH 239: Combinatorics","An introduction to combinatorial mathematics including topics in graph theory and enumeration.","2024-09-04 08:30:00",90,30,103,"University of Waterloo, MC 2054"
2,"Computer Science","CS 240: Data Structures","Fundamental data structures and algorithms for data management with emphasis on memory management and binary data structures.","2024-09-05 13:00:00",90,50,103,"University of Waterloo, DC 1350"
147,"HRM 424","Writing Workshop","Hands-on practical session","2024-07-14 14:50:00",60,10,103,"SLC 2034"
148,"SOC 302","Skill Development Workshop","Practical demonstrations of key concepts","2024-07-23 03:25:00",90,2,103,"CPH 2478"
149,"ARTS 348","Subject Review","Group study session to prepare for quizzes","2024-07-21 16:25:00",120,5,102,"RCH 2614"
150,"SPAN 390","Practical Demonstration","In-depth review of subject material","2024-07-28 22:20:00",120,5,102,"EV3 1398"
151,"CIVE 246","Seminar Follow-Up","Preparation for upcoming tests","2024-07-20 01:10:00",90,5,102,"E5 4447"
152,"PSCI 388","Focused Review Session","Consultation on thesis structure and content","2024-07-08 17:25:00",120,7,103,"MC 3557"
153,"BME 230","Interactive Study Group","Group study session to prepare for quizzes","2024-07-08 06:05:00",90,4,103,"PAS 1398"
154,"GEOG 190","Writing Workshop","Exploring new topics in-depth","2024-07-22 21:25:00",90,8,102,"BMH 1243"
155,"KIN 177","Interactive Quiz","Collaborating on project ideas","2024-07-18 11:35:00",30,2,103,"EV3 4221"
156,"LS 271","Peer Review Session","Group study session to prepare for quizzes","2024-07-12 05:30:00",90,6,102,"STC 3351"
157,"PHARM 339","Case Study Discussion","Preparation for upcoming tests","2024-07-23 09:15:00",60,5,102,"MC 2283"
158,"HRM 303","Presentation Practice","Planning and organizing study schedules","2024-08-01 18:10:00",30,5,102,"HH 2800"
159,"SYDE 324","Reading Group","Open group discussion on course material","2024-08-12 00:15:00",120,5,102,"MC 3728"
160,"HRM 256","Study Group Session","Providing academic support and guidance","2024-07-10 13:10:00",90,4,102,"CPH 4294"
161,"SPAN 387","Problem-Solving Session","Open forum for discussing ideas","2024-07-21 13:45:00",90,10,102,"SLC 4494"
162,"BME 342","Career Advice Session","Interactive workshop on a key topic","2024-07-15 20:50:00",30,4,103,"E3 3920"
163,"MUSIC 150","Presentation Practice","Focused review session for important topics","2024-07-08 12:20:00",60,10,102,"BMH 2696"
164,"ARTS 264","Concept Clarification Session","Collaborating on project ideas","2024-08-13 07:45:00",30,6,103,"AL 3468"
165,"NE 288","Quiz Practice Session","Workshop on academic writing skills","2024-07-23 21:15:00",90,2,102,"E7 2101"
166,"CS 152","Collaborative Study","Workshop on academic writing skills","2024-07-04 21:25:00",30,5,103,"HH 2927"
167,"MUSIC 262","Knowledge Enhancement","Deep dive into specific topics","2024-07-23 22:25:00",60,2,103,"STC 2635"
168,"MUSIC 158","Assignment Help","Review and feedback on assignments","2024-08-15 23:20:00",60,4,102,"EV2 3058"
169,"HRM 174","Subject Review","Solving practice problems together","2024-07-22 07:40:00",60,2,103,"E6 2633"
170,"SPAN 435","Finals Preparation","Career guidance and advice","2024-08-12 09:30:00",30,10,103,"EV3 3711"
171,"ME 396","Interactive Study Group","Review and feedback on assignments","2024-08-05 01:25:00",60,9,103,"EV1 4097"
172,"SUSM 111","Writing Workshop","Workshop on academic writing skills","2024-07-05 21:35:00",90,9,103,"E5 2482"
173,"BME 352","Concept Discussion","Workshop on effective study skills","2024-07-30 03:15:00",30,3,102,"STC 4126"
174,"CS 298","Academic Support","Providing academic support and guidance","2024-08-12 08:30:00",30,9,102,"E1 3159"
175,"HRM 404","Test Preparation","Open forum for discussing ideas","2024-08-07 04:05:00",30,9,102,"STC 2211"
176,"SUSM 196","Content Recap","Enhancing knowledge through group discussion","2024-08-06 17:15:00",60,5,102,"PAS 2827"
177,"ECE 351","Knowledge Sharing","Interactive quiz to test knowledge","2024-07-08 12:35:00",120,6,102,"EIT 3663"
178,"SE 269","Thesis Consultation","Focused review session for important topics","2024-07-12 22:50:00",30,3,103,"QNC 1474"
179,"CIVE 427","Mock Exam Session","Focused review session for important topics","2024-07-28 22:10:00",60,6,102,"EIT 2370"
180,"BIOL 427","Focused Study","Preparation for upcoming tests","2024-07-22 04:00:00",120,2,103,"OPT 4188"
181,"SYDE 320","Lab Report Assistance","Planning and organizing study schedules","2024-08-14 20:30:00",30,6,103,"AL 3246"
182,"REC 370","Discussion Forum","Overview of important topics","2024-07-29 10:05:00",60,7,102,"E7 2330"
183,"ARTS 400","Problem-Solving Session","Interactive learning activities","2024-08-13 23:40:00",120,2,102,"STC 2599"
184,"BIOL 368","Reading Session","Providing academic support and guidance","2024-07-17 23:50:00",120,9,102,"QNC 2403"
185,"BIOL 272","Review Meeting","Recap of course content","2024-08-02 13:10:00",120,8,102,"AL 1645"
186,"GS 116","Quiz Preparation","Effective strategies for final exams","2024-08-09 19:30:00",120,10,103,"QNC 1794"
187,"SYDE 269","Case Study Discussion","Exploring new topics in-depth","2024-07-15 02:55:00",120,4,103,"OPT 1337"
188,"SE 367","Career Development Session","Review and feedback on assignments","2024-08-08 14:25:00",90,3,103,"BMH 2378"
189,"PSYCH 138","Skill Development Workshop","Practical demonstrations of key concepts","2024-08-06 06:05:00",90,6,102,"RCH 3920"
190,"SYDE 360","Discussion on Current Topics","Planning and organizing study schedules","2024-08-05 16:05:00",90,3,103,"BMH 4094"
191,"SPAN 250","Mock Exam Session","Practical demonstrations of key concepts","2024-08-13 18:25:00",90,8,102,"EV1 3285"
192,"PHARM 297","Quiz Preparation","Support for academic writing tasks","2024-08-02 01:55:00",30,6,103,"BMH 2074"
193,"NE 433","Career Advice Session","Professional development tips","2024-08-14 18:35:00",60,10,103,"E1 2678"
194,"ECE 110","Focused Study","Exploring new topics in-depth","2024-07-28 23:10:00",30,3,102,"E2 1949"
195,"NE 238","Study Group Session","Assistance with writing lab reports","2024-07-02 04:45:00",30,3,102,"RCH 3598"
196,"MUSIC 271","Subject Review","Sharing of useful online resources","2024-08-01 13:10:00",60,5,102,"PAS 2494"
197,"HIST 404","Seminar Follow-Up","Interactive workshop on a key topic","2024-07-29 01:50:00",30,6,103,"EIT 3649"
198,"AFM 197","Interactive Quiz","Collaborative learning and peer support","2024-08-05 03:55:00",120,6,103,"HH 2971"
199,"STAT 272","Topic Mastery Session","Interactive learning activities","2024-07-10 11:00:00",90,6,102,"EV3 2650"
200,"KIN 404","Knowledge Enhancement","Enhancing knowledge through group discussion","2024-07-30 12:35:00",90,4,103,"BMH 1534"
201,"LS 305","Finals Preparation","Hands-on practical session","2024-08-03 14:20:00",90,9,102,"RCH 1216"
202,"SUSM 319","Focused Review Session","Support for academic writing tasks","2024-07-10 06:55:00",120,8,103,"E5 3435"
203,"REC 304","Resource Sharing","Clarifying difficult concepts","2024-07-22 07:25:00",30,6,103,"DC 4411"
204,"SUSM 339","Problem-Solving Session","Open forum for discussing ideas","2024-07-20 18:45:00",60,5,103,"RCH 3950"
205,"REC 208","Topic Deep Dive","Open group discussion on course material","2024-07-03 19:50:00",120,10,102,"STC 1810"
206,"SUSM 262","Test Preparation","Clarifying difficult concepts","2024-07-19 13:15:00",90,5,102,"E1 3078"
207,"PHYS 293","Test Preparation","Open forum for discussing ideas","2024-08-14 05:35:00",30,5,103,"HH 3093"
208,"SE 201","Lab Report Assistance","Providing academic support and guidance","2024-07-15 17:35:00",120,10,103,"EV2 3783"
209,"REC 285","Case Study Discussion","Talking about recent developments in the subject","2024-07-24 02:05:00",30,3,103,"STC 2394"
210,"REC 396","Concept Discussion","Guidance on research methodology","2024-08-04 16:40:00",30,3,102,"EV2 3207"
211,"SPAN 340","Career Development Session","Sharing of useful online resources","2024-08-12 22:55:00",90,2,103,"E1 3253"
212,"STAT 204","Focused Study","Consultation on thesis structure and content","2024-07-21 19:55:00",30,8,103,"E2 4348"
213,"REC 306","Content Recap","Practical demonstrations of key concepts","2024-08-05 03:40:00",120,8,103,"E6 3023"
214,"SE 339","Interactive Learning","Providing academic support and guidance","2024-08-02 06:15:00",30,5,102,"EV3 2568"
215,"GS 320","Finals Preparation","Assistance with writing lab reports","2024-07-22 05:05:00",120,6,102,"EV1 2456"
216,"PSYCH 297","Practical Demonstration","Overview of important topics","2024-07-18 01:00:00",30,10,103,"E6 2842"
217,"SUSM 264","Discussion Forum","Planning and organizing study schedules","2024-07-05 20:40:00",90,3,103,"AL 1282"
218,"REC 360","Knowledge Sharing","Focused study on specific topics","2024-08-15 01:55:00",60,7,102,"E7 2103"
219,"SYDE 102","Case Study Discussion","Solving practice problems together","2024-07-19 22:15:00",30,5,103,"SLC 3219"
220,"BME 417","Research Guidance","Enhancing knowledge through group discussion","2024-07-27 13:00:00",120,3,103,"MC 1556"
221,"ECE 136","Interactive Study Group","Consultation on thesis structure and content","2024-08-04 07:10:00",90,2,102,"E3 3119"
222,"PHYS 107","Study Skills Workshop","Interactive quiz to test knowledge","2024-08-09 10:40:00",60,4,103,"EV2 3262"
223,"KIN 440","Skill Development Workshop","Solving practice problems together","2024-08-10 08:55:00",90,10,102,"SLC 2689"
224,"AFM 227","Learning Strategies","Preparation for upcoming tests","2024-08-06 15:30:00",120,7,102,"AL 2350"
225,"PSCI 294","Interactive Quiz","Solving practice problems together","2024-08-07 08:40:00",30,3,103,"ML 3330"
226,"GS 106","Resource Sharing","Consultation on thesis structure and content","2024-08-02 07:40:00",60,9,103,"MC 2791"
227,"ARTS 238","Discussion Forum","Discussing key topics for the upcoming exam","2024-07-04 23:10:00",60,7,102,"ML 4482"
228,"PHYS 413","Mock Exam Session","Discussion on the latest trends in the field","2024-07-29 20:55:00",120,3,103,"E3 3159"
229,"ARTS 320","Writing Workshop","Preparation for upcoming tests","2024-07-16 16:45:00",90,3,102,"MC 3170"
230,"BME 307","Reading Group","Focused study on specific topics","2024-07-16 19:40:00",30,3,102,"DC 1543"
231,"ECE 315","Practical Session","Preparation for upcoming tests","2024-07-24 12:40:00",30,5,103,"EV1 2013"
232,"CIVE 357","Study Skills Workshop","Providing academic support and guidance","2024-07-18 06:00:00",120,9,103,"E7 2031"
233,"GS 342","Focused Review Session","Overview of important topics","2024-08-15 16:45:00",60,6,102,"E6 1850"
234,"BIOL 262","Topic Exploration","In-depth review of subject material","2024-07-19 14:40:00",60,6,103,"E3 1298"
235,"SYDE 135","Interactive Workshop","Talking about recent developments in the subject","2024-08-13 05:00:00",90,7,102,"SLC 3264"
236,"REC 351","Peer Support","Workshop on effective study skills","2024-08-13 10:15:00",30,10,102,"E7 3560"
237,"MUSIC 139","Interactive Workshop","Detailed discussion of case studies","2024-08-05 04:20:00",90,5,103,"E3 3237"
238,"PHYS 262","Resource Sharing","Sharing of useful online resources","2024-07-11 03:20:00",120,5,103,"EV1 3463"
239,"GEOG 437","Topic Deep Dive","Collaborative learning and peer support","2024-07-17 04:00:00",90,6,103,"RCH 4317"
240,"CIVE 178","Discussion Forum","Open forum for discussing ideas","2024-08-01 15:15:00",90,4,103,"E5 2020"
241,"SOC 175","Reading Session","Mock exams and practice questions","2024-07-29 11:40:00",60,8,103,"E3 2378"
242,"GS 158","Academic Support","Planning and organizing study schedules","2024-07-12 23:35:00",30,3,102,"CPH 2191"
243,"ME 331","Learning Strategies","Workshop on effective study skills","2024-07-25 22:40:00",60,9,102,"EV3 1234"
244,"PHARM 222","Discussion on Trends","Discussing key topics for the upcoming exam","2024-08-14 16:15:00",90,9,102,"MC 2383"
245,"SUSM 176","Concept Clarification Session","Interactive quiz to test knowledge","2024-07-28 10:25:00",90,7,103,"E6 3320"
246,"SYDE 280","Learning Strategies","Solving practice problems together","2024-07-30 07:35:00",120,4,102,"E3 4382"
247,"SE 351","Research Guidance","Mastering key topics through focused study","2024-07-06 06:00:00",90,4,103,"CPH 4394"
248,"PHARM 225","Knowledge Enhancement","Open group discussion on course material","2024-07-07 02:55:00",120,4,102,"E6 2327"
249,"SOC 181","Skill Development Workshop","Practice for group presentations","2024-07-13 16:30:00",90,8,103,"E5 1748"
250,"SE 378","Reading Group","Effective strategies for final exams","2024-08-02 23:40:00",120,8,102,"E6 3398"
251,"PSYCH 326","Quiz Practice Session","Workshop on academic writing skills","2024-07-22 21:25:00",60,5,102,"DC 4393"
252,"HIST 296","Study Skills Workshop","Talking about recent developments in the subject","2024-08-12 17:30:00",60,10,103,"OPT 1059"
253,"KIN 420","Review Meeting","Discussing key topics for the upcoming exam","2024-07-05 19:00:00",60,5,103,"E7 3276"
254,"CIVE 254","Problem-Solving Session","Mock exams and practice questions","2024-08-03 12:35:00",120,6,103,"PAS 1208"
255,"SE 184","Practical Session","Workshop on effective study skills","2024-07-13 01:40:00",120,10,103,"STC 2112"
256,"NE 350","Focused Study","Mock exams and practice questions","2024-07-03 10:05:00",60,9,103,"E2 1597"
257,"STAT 300","Seminar Follow-Up","Problem-solving techniques and strategies","2024-08-07 15:00:00",120,9,102,"EV1 2905"
258,"CHE 264","Interactive Learning","Solving practice problems together","2024-07-29 12:45:00",90,6,103,"EV3 4328"
259,"ME 249","Writing Workshop","Problem-solving techniques and strategies","2024-08-05 15:10:00",120,2,103,"E7 4211"
260,"AFM 154","Practical Session","Reviewing recent assignments and providing help","2024-08-03 00:40:00",90,3,102,"E2 3516"
261,"SE 233","Concept Clarification Session","Reviewing recent assignments and providing help","2024-07-25 23:20:00",60,3,103,"MC 1426"
262,"CIVE 363","Academic Support","Discussing key topics for the upcoming exam","2024-07-14 12:30:00",90,7,103,"E7 3409"
263,"PSYCH 274","Problem-Solving Session","Open group discussion on course material","2024-08-04 16:00:00",30,10,103,"E2 1059"
264,"BIOL 268","Seminar Follow-Up","Strategies for effective learning","2024-08-03 00:55:00",90,7,103,"EV2 3585"
265,"ECE 269","Case Study Discussion","Planning and organizing study schedules","2024-07-27 03:40:00",60,2,102,"SLC 4005"
266,"HRM 125","Study Group Session","Collaborating on project ideas","2024-08-09 19:05:00",30,8,102,"E2 1555"
267,"ME 379","Interactive Learning","Guidance on research methodology","2024-08-14 23:50:00",120,4,103,"RCH 3797"
268,"CIVE 352","Finals Preparation","Providing academic support and guidance","2024-08-05 10:40:00",30,10,103,"E7 4238"
269,"NE 300","Concept Discussion","Guidance on research methodology","2024-07-12 14:35:00",120,3,102,"CPH 2832"
270,"KIN 168","Presentation Practice","Discussion on the latest trends in the field","2024-07-30 17:45:00",60,3,102,"E5 3305"
271,"SPAN 276","Career Advice Session","Recap of course content","2024-07-29 07:30:00",60,7,102,"EV1 1979"
272,"CIVE 183","Focused Study","Practice for group presentations","2024-08-12 02:25:00",60,9,102,"MC 2899"
273,"HRM 179","Presentation Practice","Overview of important topics","2024-07-30 22:55:00",30,8,103,"RCH 4412"
274,"ENV 178","Presentation Practice","Review and feedback on assignments","2024-07-14 20:10:00",120,3,102,"BMH 4313"
275,"CIVE 212","Interactive Study Group","Enhancing knowledge through group discussion","2024-08-04 18:20:00",60,2,102,"MC 2569"
276,"HIST 187","Career Development Session","Strategies for effective learning","2024-07-20 18:35:00",60,5,102,"EV2 1892"
277,"PHARM 385","Interactive Quiz","Effective strategies for final exams","2024-08-14 14:00:00",60,6,103,"CPH 2570"
278,"SPAN 201","Presentation Practice","Discussing key topics for the upcoming exam","2024-07-23 16:20:00",30,4,103,"MC 4429"
279,"GS 161","Discussion Forum","Professional development tips","2024-07-12 14:35:00",90,6,103,"HH 3770"
280,"HIST 245","Quiz Practice Session","Effective strategies for final exams","2024-08-04 20:45:00",30,2,102,"E5 1769"
281,"CHE 303","Problem-Solving Session","Workshop on developing new skills","2024-08-12 01:25:00",90,9,103,"EV2 1937"
282,"ARTS 190","Interactive Study Group","Mock exams and practice questions","2024-08-12 14:30:00",60,4,102,"EV3 1412"
283,"REC 196","Project Brainstorming","Support for academic writing tasks","2024-07-16 14:00:00",60,4,103,"EIT 2878"
284,"SPAN 435","Reading Group","Workshop on effective study skills","2024-07-12 01:15:00",60,9,102,"E2 2483"
285,"ME 224","Collaborative Study","Interactive discussion of seminar content","2024-08-08 15:10:00",30,5,102,"EV1 2925"
286,"CIVE 148","Discussion on Current Topics","Mock exams and practice questions","2024-08-04 22:55:00",60,4,102,"RCH 2504"
287,"NE 436","Concept Clarification Session","General study session covering a range of subjects","2024-07-04 21:20:00",60,3,102,"CPH 4450"
288,"ME 384","Focused Study","Support for academic writing tasks","2024-07-06 09:45:00",60,2,102,"CPH 2361"
289,"GS 391","Topic Mastery Session","Interactive workshop on a key topic","2024-07-13 04:15:00",120,3,102,"AL 2487"
290,"SPAN 368","Skill Development Workshop","Strategies for effective learning","2024-08-11 21:00:00",60,6,103,"PAS 1865"
291,"SPAN 264","Interactive Learning","Workshop on effective study skills","2024-07-16 08:50:00",120,6,102,"STC 3067"
292,"CS 314","Focused Review Session","Review and feedback on assignments","2024-07-27 02:35:00",120,4,102,"E7 2453"
293,"ARTS 199","Concept Clarification Session","Group study session to prepare for quizzes","2024-07-07 00:35:00",90,8,103,"ML 2575"
294,"REC 223","Discussion on Trends","Interactive learning activities","2024-07-30 17:45:00",90,2,102,"EV2 1907"
295,"ENV 108","Quiz Preparation","Guidance on research methodology","2024-08-11 21:35:00",90,5,103,"CPH 1099"
296,"SUSM 274","Concept Clarification Session","Detailed discussion of case studies","2024-07-01 23:10:00",60,10,103,"E7 4264"
297,"MUSIC 200","Focused Study","Collaborative learning and peer support","2024-07-29 16:20:00",120,10,103,"DC 3108"
298,"PHARM 415","Presentation Practice","Detailed discussion of case studies","2024-08-15 23:50:00",30,2,103,"QNC 1931"
299,"STAT 209","Collaborative Study","Career guidance and advice","2024-07-11 16:35:00",60,6,102,"RCH 1311"
300,"SE 272","Academic Support","Reviewing recent assignments and providing help","2024-07-13 23:45:00",30,10,102,"E6 2596"
301,"AFM 185","Project Brainstorming","Collaborating on project ideas","2024-08-13 04:55:00",30,4,103,"SLC 3284"
302,"SE 275","Seminar Follow-Up","Planning and organizing study schedules","2024-07-15 09:20:00",60,10,103,"E5 1476"
303,"HIST 176","Peer Review Session","Career guidance and advice","2024-07-24 15:40:00",30,10,102,"E1 1127"
304,"ECE 143","Reading Session","Group study session to prepare for quizzes","2024-07-09 17:35:00",90,2,102,"PAS 2643"
305,"BME 245","Assignment Help","Mock exams and practice questions","2024-08-02 03:20:00",120,8,103,"E5 2206"
306,"ARTS 324","Resource Sharing","Exploring new topics in-depth","2024-08-11 02:05:00",30,10,102,"RCH 3708"
307,"MATH 332","Collaborative Study","Open group discussion on course material","2024-07-01 16:00:00",60,5,103,"BMH 3356"
308,"BME 144","Practical Demonstration","Solving practice problems together","2024-07-24 11:05:00",60,3,102,"E3 2661"
309,"STAT 144","Thesis Consultation","Hands-on practical session","2024-08-05 14:25:00",30,10,102,"E5 3502"
310,"PHYS 397","Study Skills Workshop","Review and feedback on assignments","2024-07-31 11:50:00",90,2,102,"E1 3701"
311,"MATH 160","Knowledge Enhancement","Career guidance and advice","2024-08-02 14:50:00",120,3,102,"E6 1233"
312,"HIST 303","Discussion on Current Topics","Detailed discussion of case studies","2024-07-11 13:30:00",60,2,103,"E1 1636"
313,"ARTS 128","Quiz Practice Session","Clarifying difficult concepts","2024-07-24 13:00:00",90,3,103,"SLC 1714"
314,"GS 423","Discussion Forum","Assistance with writing lab reports","2024-07-08 03:40:00",30,10,102,"HH 2564"
315,"MATH 318","Career Development Session","Engaging in critical reading exercises","2024-07-10 11:55:00",120,5,102,"EIT 4168"
316,"REC 100","Peer Review Session","Detailed discussion of case studies","2024-08-07 05:45:00",30,8,103,"E2 2749"
317,"ME 166","Interactive Study Group","Review and feedback on assignments","2024-07-10 21:35:00",60,5,102,"ML 2942"
318,"BIOL 196","Learning Strategies","Discussing key topics for the upcoming exam","2024-07-28 16:40:00",60,6,102,"QNC 4205"
319,"SYDE 279","Discussion on Current Topics","Collaborating on project ideas","2024-08-12 08:45:00",90,2,103,"EV2 3641"
320,"PHYS 165","Thesis Consultation","Session to enhance knowledge and skills","2024-07-16 15:15:00",30,9,103,"E6 2569"
321,"ECE 380","Group Learning Session","Exploring new topics in-depth","2024-08-06 10:40:00",60,10,103,"AL 3647"
322,"LS 140","Knowledge Sharing","Problem-solving techniques and strategies","2024-07-14 17:30:00",30,3,103,"HH 3104"
323,"HIST 115","Collaborative Study","Workshop on academic writing skills","2024-07-03 23:05:00",90,4,102,"EV2 3531"
324,"SPAN 299","Quiz Preparation","General study session covering a range of subjects","2024-08-01 06:15:00",120,10,102,"EV1 1358"
325,"LS 432","Test Preparation","Discussing key topics for the upcoming exam","2024-08-04 05:45:00",30,10,102,"CPH 4357"
326,"ME 171","Focused Review Session","Enhancing knowledge through group discussion","2024-07-20 20:15:00",60,8,103,"E6 2327"
327,"SUSM 239","Quiz Preparation","Interactive quiz to test knowledge","2024-08-09 14:45:00",30,10,103,"E5 2422"
328,"GS 167","Reading Session","Guidance on research methodology","2024-08-02 06:40:00",90,7,102,"E2 3230"
329,"SPAN 217","Topic Exploration","Guidance on research methodology","2024-08-03 00:45:00",90,8,103,"E7 2002"
330,"MUSIC 123","Skill Development Workshop","Focused study on specific topics","2024-07-04 12:45:00",60,8,103,"E1 2663"
331,"ARTS 221","Subject Review","Interactive quiz to test knowledge","2024-07-12 06:25:00",120,6,103,"STC 2817"
332,"SE 340","Presentation Practice","Practical demonstrations of key concepts","2024-07-30 00:10:00",90,7,102,"E2 1618"
333,"LS 136","Collaborative Study","Group study session to prepare for quizzes","2024-08-12 03:40:00",60,7,102,"E1 3054"
334,"AFM 209","Practical Session","Collaborative learning and peer support","2024-08-08 04:15:00",120,10,103,"EIT 4040"
335,"NE 231","Online Resource Session","Assistance with writing lab reports","2024-07-10 17:10:00",30,3,102,"STC 3739"
336,"AFM 156","Reading Group","Recap of course content","2024-07-07 19:55:00",120,7,103,"RCH 2067"
337,"SYDE 291","Assignment Help","Consultation on thesis structure and content","2024-07-27 00:25:00",30,9,102,"E5 2831"
338,"PSYCH 380","Peer Support","Sharing of useful online resources","2024-07-16 12:35:00",30,5,102,"RCH 2406"
339,"NE 227","Thesis Consultation","General study session covering a range of subjects","2024-07-26 05:35:00",90,2,102,"DC 4152"
340,"SPAN 427","Presentation Practice","Preparation for upcoming tests","2024-08-07 21:40:00",90,6,102,"E2 1503"
341,"ECE 342","Study Planning","In-depth review of subject material","2024-07-24 12:20:00",30,5,102,"EV1 4194"
342,"CHE 135","Interactive Study Group","Career guidance and advice","2024-08-01 23:20:00",90,8,102,"E2 3046"
343,"CIVE 433","Online Resource Session","Group study session to prepare for quizzes","2024-07-26 08:30:00",90,7,102,"EV3 3851"
344,"SYDE 380","Focused Study","Effective strategies for final exams","2024-08-09 08:35:00",120,5,102,"MC 2575"
345,"SOC 292","Interactive Quiz","Interactive learning activities","2024-08-07 21:30:00",60,5,103,"HH 1424"
346,"PSCI 421","Mock Exam Session","Overview of important topics","2024-07-22 22:30:00",120,8,102,"CPH 2127"
347,"PHYS 201","Problem-Solving Session","Guidance on research methodology","2024-07-13 08:50:00",120,4,103,"EV2 3214"
348,"HIST 177","Resource Sharing","Reviewing recent assignments and providing help","2024-07-17 02:15:00",90,2,102,"EIT 3269"
349,"ECE 140","Quiz Preparation","Collaborative learning and peer support","2024-07-05 22:10:00",120,7,103,"MC 1417"
350,"REC 248","Presentation Practice","Mock exams and practice questions","2024-08-05 19:25:00",90,9,103,"E5 2172"
351,"REC 197","Study Skills Workshop","Workshop on effective study skills","2024-08-10 04:00:00",30,10,102,"EV3 2687"
352,"GEOG 365","Interactive Learning","Workshop on effective study skills","2024-07-02 05:10:00",60,6,103,"CPH 2560"
353,"AFM 126","Career Development Session","Focused review session for important topics","2024-07-22 03:00:00",60,3,102,"RCH 1907"
354,"MUSIC 163","Peer Review Session","Solving practice problems together","2024-07-03 21:20:00",120,6,102,"EV3 2385"
355,"ECE 303","Thesis Consultation","Practical demonstrations of key concepts","2024-07-07 23:55:00",60,4,102,"HH 3058"
356,"PHYS 243","Topic Deep Dive","Workshop on developing new skills","2024-07-28 23:20:00",30,8,103,"EV3 4346"
357,"REC 358","Group Discussion","Collaborative learning and peer support","2024-07-15 07:15:00",90,10,102,"E7 3380"
358,"MATH 211","Reading Session","Assistance with writing lab reports","2024-07-14 10:00:00",30,8,102,"E6 4135"
359,"SPAN 319","Interactive Quiz","Interactive learning activities","2024-07-16 03:35:00",60,6,102,"EV3 2695"
360,"GS 206","Online Resource Session","In-depth review of subject material","2024-07-28 03:05:00",60,9,102,"E7 1711"
361,"SOC 224","Group Discussion","Guidance on research methodology","2024-08-14 23:05:00",120,10,103,"HH 2946"
362,"MUSIC 438","Interactive Learning","Consultation on thesis structure and content","2024-08-09 15:15:00",60,10,102,"EV1 1800"
363,"LS 361","Topic Exploration","Assistance with writing lab reports","2024-07-08 00:05:00",90,9,103,"PAS 3243"
